CoutryLabel,ccode
Argentina,Argentina
Australia,Australia
Austria,Austria
Belgium - Brussels Capital,BrusellsCapital
Belgium - Federal government,BelgiumFederalGovernment
Belgium - Flanders,Flanders
Belgium - Wallonia,WalloonRegion
Belgium - Wallonia-Brussels Federation,FrenchCommunityOfBelgium
Bulgaria,Bulgaria
Brazil,Brazil
Canada,Canada
Switzerland,Switzerland
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,CostaRica
Cyprus,Cyprus
Czech Republic,CzechRepublic
Germany,Germany
Denmark,Denmark
Egypt,Egypt
Spain,Spain
Estonia,Estonia
European Union,EuropeanUnion
Finland,Finland
France,France
United Kingdom,UnitedKingdom
Greece,Greece
Croatia,Croatia
Hungary,Hungary
Indonesia,Indonesia
India,India
Ireland,Ireland
Iceland,Iceland
Israel,Israel
Italy,Italy
Japan,Japan
Kazakhstan,Kazakhstan
Korea,SouthKorea
Lithuania,Lithuania
Luxembourg,Luxembourg
Latvia,Latvia
Morocco,Morocco
Mexico,Mexico
Malta,Malta
Malaysia,Malaysia
Netherlands,Netherlands
Norway,Norway
New Zealand,NewZealand
Peru,Peru
Poland,Poland
Portugal,Portugal
Romania,Romania
Russian Federation,RussianFederation
Saudi Arabia,SaudiArabia
Serbia,Serbia
Slovak Republic,SlovakRepublic
Slovenia,Slovenia
Sweden,Sweden
Thailand,Thailand
Turkey,Turkey
United Arab Emirates,UnitedArabEmirates
Uruguay,Uruguay
United States,UnitedStates
South Africa,SouthAfrica
